"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"C43,C42,C41,C19";"C_0805_2012Metric";4;"10n";;;
2;"R30";"R_0805_2012Metric";1;"1k";;;
3;"R29,R28";"R_0402_1005Metric";2;"4,7k";;;
4;"J4,J3";"PinHeader_1x05_P1.27mm_Vertical";2;"Conn_01x05";;;
5;"X2,X1";"Oscillator_SMD_ECS_2520MV-xxx-xx-4Pin_2.5x2.0mm";2;"ASV-xxxMHz";;;
6;"U2";"SOT-223-3_TabPin2";1;"AP1117-33";;;
7;"U1";"LQFP-48_7x7mm_P0.5mm";1;"STM32F303CBTx";;;
8;"TP14";"TestPoint_Pad_D1.0mm";1;"FMM";;;
9;"TP13";"TestPoint_Pad_D1.0mm";1;"FMDM";;;
10;"TP12";"TestPoint_Pad_D1.0mm";1;"DA";;;
11;"TP11";"TestPoint_Pad_D1.0mm";1;"MO";;;
12;"TP10";"TestPoint_Pad_D1.0mm";1;"AD";;;
13;"TP9";"TestPoint_Pad_D1.0mm";1;"RF_CLK";;;
14;"TP8";"TestPoint_Pad_D1.0mm";1;"SWD";;;
15;"TP7";"TestPoint_Pad_D1.0mm";1;"Data";;;
16;"TP6";"TestPoint_Pad_D1.0mm";1;"DClk";;;
17;"TP5";"TestPoint_Pad_D1.0mm";1;"RF_EN";;;
18;"TP4";"TestPoint_Pad_D1.0mm";1;"S_EN";;;
19;"TP3";"TestPoint_Pad_D1.0mm";1;"MOSI";;;
20;"TP2";"TestPoint_Pad_D1.0mm";1;"MISO";;;
21;"TP1";"TestPoint_Pad_D1.0mm";1;"SCK";;;
22;"RN1";"R_Array_Convex_4x0603";1;"R_Pack04";;;
23;"R27,R24,R23,R22,R21,R20,R19,R18,R16,R7,R6,R5,R4,R3,R2,R1";"R_0402_1005Metric";16;"1k";;;
24;"R26,R25";"R_0402_1005Metric";2;"?";;;
25;"R17";"R_0402_1005Metric";1;"10k";;;
26;"R15";"R_0402_1005Metric";1;"1,3k";;;
27;"R14,R13";"R_0402_1005Metric";2;"22";;;
28;"R12";"R_0402_1005Metric";1;"270";;;
29;"R11";"R_0402_1005Metric";1;"560";;;
30;"R10";"R_0402_1005Metric";1;"1,1k";;;
31;"R9";"R_0402_1005Metric";1;"3,6k";;;
32;"R8";"R_0402_1005Metric";1;"3,9k";;;
33;"L5";"L-0402CS";1;"22n";;;
34;"L4";"L-0402CS";1;"20n";;;
35;"L3";"L-0402CS";1;"13n";;;
36;"L2";"L-0402CS";1;"27n";;;
37;"L1";"L-0402CS";1;"18n";;;
38;"JP2";"SolderJumper-3_P1.3mm_Open_RoundedPad1.0x1.5mm";1;"Boot1";;;
39;"JP1";"SolderJumper-3_P1.3mm_Open_RoundedPad1.0x1.5mm";1;"Boot0";;;
40;"J2";"SMA_Samtec_SMA-J-P-X-ST-EM1_EdgeMount";1;"RF_PORT";;;
41;"J1";"USB_A_CNCTech_1001-011-01101_Horizontal";1;"USB_A";;;
42;"IC1";"ADF7021";1;"ADF7021";;;
43;"D4";"LED_0603_1608Metric";1;"PWR";;;
44;"D3";"LED_0603_1608Metric";1;"SYS";;;
45;"D2";"LED_0603_1608Metric";1;"RX";;;
46;"D1";"LED_0603_1608Metric";1;"TX";;;
47;"C40,C39,C21,C13,C12,C9,C7,C3,C1";"C_0402_1005Metric";9;"10n";;;
48;"C38,C37,C36,C35,C34,C33";"C_0402_1005Metric";6;"4,7n";;;
49;"C32,C11,C8,C5,C2";"C_0402_1005Metric";5;"100n";;;
50;"C31,C30,C29,C28,C27,C26";"C_0603_1608Metric";6;"10n";;;
51;"C25,C22";"C_0402_1005Metric";2;"6,8p";;;
52;"C24";"C_0402_1005Metric";1;"10p";;;
53;"C23";"C_0402_1005Metric";1;"4,7p";;;
54;"C20";"C_0402_1005Metric";1;"220p";;;
55;"C18";"C_0805_2012Metric";1;"100n";;;
56;"C17";"C_1206_3216Metric";1;"100n";;;
57;"C16";"C_0402_1005Metric";1;"1n";;;
58;"C15";"C_0402_1005Metric";1;"15n";;;
59;"C14";"C_0402_1005Metric";1;"470p";;;
60;"C10";"C_0402_1005Metric";1;"22n";;;
61;"C6";"C_1206_3216Metric";1;"4,7u";;;
62;"C4";"C_0402_1005Metric";1;"22p";;;
